HMY,ITYPE,HPOINTER,DTDATE,DSQFT0,DSQFT1,DSQFT2,DSQFT3,DSQFT4,DSQFT5,DSQFT6,DSQFT7,DSQFT8,DSQFT9,DSQFT10,DSQFT11,DSQFT12,DSQFT13,DSQFT14,DSQFT15,sNotes,TDtDate,hUserCreatedBy,dtCreated,hUserModifiedBy,dtLastModified,hForeignDb,sExtReference,hCopyFrom,tRowVersion
1168,480,55,00:00.0,44782,44782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.1,2,45:11.1,NULL,NULL,NULL,0x0000000001E2A3E7
1169,480,56,00:00.0,2580,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.1,2,45:11.1,NULL,NULL,NULL,0x0000000001E2A3E9
1170,480,56,00:00.0,3458,3458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.1,2,45:11.1,NULL,NULL,NULL,0x0000000001E2A3EB
1171,480,56,00:00.0,4276,4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.2,2,45:11.2,NULL,NULL,NULL,0x0000000001E2A3ED
1172,480,56,00:00.0,5171,5171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.2,2,45:11.2,NULL,NULL,NULL,0x0000000001E2A3EF
1173,480,56,00:00.0,4255,4255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.2,2,45:11.2,NULL,NULL,NULL,0x0000000001E2A3F1
1174,3,816,00:00.0,50225,50225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.3,2,45:11.3,NULL,NULL,NULL,0x0000000001E2A3F3
1175,3,816,00:00.0,50225,50225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.3,2,45:11.3,NULL,NULL,NULL,0x0000000001E2A3F5
1176,3,816,00:00.0,49970,49970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.4,2,45:11.4,NULL,NULL,NULL,0x0000000001E2A3F7
1177,3,816,00:00.0,50009,50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.4,2,45:11.4,NULL,NULL,NULL,0x0000000001E2A3F9
1178,3,816,00:00.0,49915,49915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.5,2,45:11.5,NULL,NULL,NULL,0x0000000001E2A3FB
1179,3,816,00:00.0,50810,50810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.6,2,45:11.6,NULL,NULL,NULL,0x0000000001E2A3FD
1180,3,816,00:00.0,49894,49894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.6,2,45:11.6,NULL,NULL,NULL,0x0000000001E2A3FF
1181,480,58,00:00.0,58149,58149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.7,2,45:11.7,NULL,NULL,NULL,0x0000000001E2A402
1182,480,58,00:00.0,57204,57204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.7,2,45:11.7,NULL,NULL,NULL,0x0000000001E2A404
1183,480,59,00:00.0,1756,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.7,2,45:11.7,NULL,NULL,NULL,0x0000000001E2A406
1184,3,817,00:00.0,59905,59905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.8,2,45:11.8,NULL,NULL,NULL,0x0000000001E2A408
1185,3,817,00:00.0,58960,58960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.8,2,45:11.8,NULL,NULL,NULL,0x0000000001E2A40A
1186,480,63,00:00.0,50562,50562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.9,2,45:11.9,NULL,NULL,NULL,0x0000000001E2A40C
1187,480,63,00:00.0,50596,50596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:11.9,2,45:11.9,NULL,NULL,NULL,0x0000000001E2A40E
1188,3,818,00:00.0,50562,50562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.0,2,45:12.0,NULL,NULL,NULL,0x0000000001E2A410
1189,3,818,00:00.0,50596,50596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.0,2,45:12.0,NULL,NULL,NULL,0x0000000001E2A412
1190,480,64,00:00.0,38482,38482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.1,2,45:12.1,NULL,NULL,NULL,0x0000000001E2A414
1191,480,64,00:00.0,38501,38501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.1,2,45:12.1,NULL,NULL,NULL,0x0000000001E2A416
1192,3,819,00:00.0,38482,38482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.2,2,45:12.2,NULL,NULL,NULL,0x0000000001E2A418
1193,3,819,00:00.0,38501,38501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.2,2,45:12.2,NULL,NULL,NULL,0x0000000001E2A41A
1194,480,66,00:00.0,18083,18083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.3,2,45:12.3,NULL,NULL,NULL,0x0000000001E2A41C
1195,3,820,00:00.0,18083,18083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.3,2,45:12.3,NULL,NULL,NULL,0x0000000001E2A41E
1196,480,68,00:00.0,19833,19833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.4,2,45:12.4,NULL,NULL,NULL,0x0000000001E2A420
1197,3,821,00:00.0,19833,19833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.4,2,45:12.4,NULL,NULL,NULL,0x0000000001E2A422
1198,480,57,00:00.0,57401,57401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.5,2,45:12.5,NULL,NULL,NULL,0x0000000001E2A424
1199,480,57,00:00.0,57401,57401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.5,2,45:12.5,NULL,NULL,NULL,0x0000000001E2A426
1200,480,57,00:00.0,57403,57403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.6,2,45:12.6,NULL,NULL,NULL,0x0000000001E2A428
1201,3,822,00:00.0,57401,57401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.6,2,45:12.6,NULL,NULL,NULL,0x0000000001E2A42A
1202,3,822,00:00.0,57401,57401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.7,2,45:12.7,NULL,NULL,NULL,0x0000000001E2A42C
1203,3,822,00:00.0,57403,57403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.7,2,45:12.7,NULL,NULL,NULL,0x0000000001E2A42E
1204,480,50,00:00.0,20194,20194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.8,2,45:12.8,NULL,NULL,NULL,0x0000000001E2A430
1205,3,823,00:00.0,20194,20194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,2,45:12.8,2,45:12.8,NULL,NULL,NULL,0x0000000001E2A432
1206,480,76,00:00.0,3805,3805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1070,1070,0x0000000001FAAE50
1207,480,76,00:00.0,7669,7669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1071,1071,0x0000000001FAAE51
1208,480,76,00:00.0,47645,47645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1072,1072,0x0000000001FAAE52
1209,480,76,00:00.0,46788,46788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1073,1073,0x0000000001FAAE53
1210,480,76,00:00.0,46533,46533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1074,1074,0x0000000001FAAE54
1211,480,76,00:00.0,45694,45694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1075,1075,0x0000000001FAAE55
1212,480,76,00:00.0,44782,44782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1076,1076,0x0000000001FAAE56
1213,480,77,00:00.0,2580,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1077,1077,0x0000000001FAAE57
1214,480,77,00:00.0,3458,3458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1078,1078,0x0000000001FAAE58
1215,480,77,00:00.0,4276,4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1079,1079,0x0000000001FAAE59
1216,480,77,00:00.0,5171,5171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1080,1080,0x0000000001FAAE5A
1217,480,77,00:00.0,4255,4255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1081,1081,0x0000000001FAAE5B
1218,4,1002,00:00.0,4335,4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0x0000000001FAAEAF
1219,4,1003,00:00.0,4182,4182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NULL,NULL,NULL,NULL,NULL,NULL,2,2,0x0000000001FAAEB0
1220,4,1003,00:00.0,3325,3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Demise for Kids w/o Limits,NULL,NULL,NULL,NULL,NULL,NULL,3,3,0x0000000001FAAEB1
1221,4,1003,00:00.0,3330,3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Titan Glass New lease expansion,NULL,NULL,NULL,NULL,NULL,NULL,4,4,0x0000000001FAAEB2
